filename,width,height,class,xmin,ymin,xmax,ymax
1233.jpeg,259,195,Smashed,109,72,170,142
1233.jpeg,259,195,Broken-glass,212,74,220,91
1555.jpeg,313,161,Broken-glass,109,77,168,111
1555.jpeg,313,161,Dent,100,44,181,152
1569.jpeg,300,168,Smashed,75,52,192,121
1569.jpeg,300,168,Broken-glass,148,72,193,96
1568.jpeg,259,194,Broken-glass,107,86,227,150
1568.jpeg,259,194,Broken-glass,186,73,211,99
1232.jpeg,1024,1024,Dent,100,214,517,517
1232.jpeg,1024,1024,Scratch,222,607,395,714
1554.jpeg,225,225,Broken-glass,78,92,136,154
1540.jpeg,269,187,Smashed,9,25,264,148
1226.jpeg,259,194,Dent,2,83,78,130
1226.jpeg,259,194,Dent,44,46,75,85
1597.jpeg,1024,1024,Broken-glass,334,424,476,643
1597.jpeg,1024,1024,Broken-glass,39,299,96,422
1597.jpeg,1024,1024,Broken-glass,117,134,534,319
1597.jpeg,1024,1024,Dent,483,243,768,665
1597.jpeg,1024,1024,Smashed,1,335,567,855
1583.jpeg,259,194,Scratch,123,62,197,103
1018.jpeg,300,168,Smashed,1,56,191,157
1018.jpeg,300,168,Broken-glass,120,54,195,87
1018.jpeg,300,168,Dent,30,18,149,66
1756.jpeg,259,194,Smashed,9,53,65,154
1030.jpeg,270,187,Smashed,1,43,244,163
1030.jpeg,270,187,Broken-glass,30,83,74,114
1030.jpeg,270,187,Broken-glass,149,93,193,119
1024.jpeg,275,183,Smashed,14,53,84,145
1742.jpeg,259,194,Broken-glass,106,57,187,123
1742.jpeg,259,194,Dent,164,139,202,170
1742.jpeg,259,194,Dent,4,130,135,176
1795.jpeg,259,194,Smashed,34,37,213,153
1781.jpeg,259,194,Smashed,21,73,187,159
1781.jpeg,259,194,Dent,196,89,215,117
1178.jpeg,259,194,Dent,38,76,183,116
1622.jpeg,176,286,Broken-glass,76,132,117,185
1622.jpeg,176,286,Dent,102,123,151,185
1622.jpeg,176,286,Scratch,68,192,125,244
1144.jpeg,259,194,Smashed,26,105,259,153
1144.jpeg,259,194,Scratch,10,79,27,113
1150.jpeg,300,168,Smashed,38,53,287,151
1636.jpeg,275,183,Dent,79,33,230,124
1805.jpeg,1024,1024,Dent,217,137,799,934
1805.jpeg,1024,1024,Scratch,288,160,737,457
1805.jpeg,1024,1024,Scratch,514,232,970,335
1805.jpeg,1024,1024,Scratch,285,676,481,730
1811.jpeg,1024,1024,Broken-glass,637,499,931,760
1811.jpeg,1024,1024,Scratch,657,825,726,891
1839.jpeg,275,183,Dent,102,68,176,103
1187.jpeg,300,168,Broken-glass,173,20,225,70
1187.jpeg,300,168,Broken-glass,59,15,174,87
1187.jpeg,300,168,Broken-glass,1,13,35,93
1193.jpeg,268,188,Dent,106,77,244,129
1193.jpeg,268,188,Broken-glass,110,39,245,78
1408.jpeg,1024,1024,Dent,524,284,888,743
1346.jpeg,290,174,Scratch,78,57,91,68
1420.jpeg,300,168,Broken-glass,92,17,222,55
1420.jpeg,300,168,Dent,59,61,130,123
1420.jpeg,300,168,Broken-glass,126,98,180,119
1434.jpeg,299,168,Dent,122,110,178,160
1352.jpeg,259,194,Broken-glass,126,99,165,129
1352.jpeg,259,194,Dent,187,86,211,104
1352.jpeg,259,194,Smashed,133,89,232,181
1385.jpeg,259,194,Broken-glass,56,20,123,69
1385.jpeg,259,194,Dent,51,69,136,128
1391.jpeg,235,215,Broken-glass,80,43,121,104
1387.jpeg,275,183,Broken-glass,101,54,171,94
1393.jpeg,275,183,Dent,15,97,137,139
1422.jpeg,259,194,Scratch,149,62,175,102
1422.jpeg,259,194,Scratch,148,111,190,122
1344.jpeg,259,194,Dent,97,117,129,139
1344.jpeg,259,194,Broken-glass,91,42,134,93
1350.jpeg,276,183,Broken-glass,119,66,143,90
1350.jpeg,276,183,Smashed,84,71,149,118
1436.jpeg,259,194,Broken-glass,70,86,121,117
1436.jpeg,259,194,Dent,57,26,139,81
1436.jpeg,259,194,Smashed,30,38,215,187
1378.jpeg,284,178,Broken-glass,92,62,145,111
1378.jpeg,284,178,Smashed,2,34,180,145
1185.jpeg,273,184,Dent,208,60,269,119
1191.jpeg,268,188,Dent,161,79,221,117
1191.jpeg,268,188,Dent,28,74,137,92
1191.jpeg,268,188,Dent,134,85,169,107
1807.jpeg,259,194,Broken-glass,9,2,243,185
1813.jpeg,290,173,Smashed,87,26,247,146
1146.jpeg,259,194,Broken-glass,83,52,137,81
1146.jpeg,259,194,Broken-glass,141,50,186,75
1620.jpeg,275,183,Dent,51,91,120,160
1620.jpeg,275,183,Scratch,127,36,186,67
1620.jpeg,275,183,Scratch,34,69,51,88
1634.jpeg,275,183,Smashed,118,92,194,131
1152.jpeg,275,183,Broken-glass,147,47,253,162
1608.jpeg,275,183,Broken-glass,43,57,87,91
1608.jpeg,275,183,Broken-glass,33,45,248,152
1608.jpeg,275,183,Scratch,69,21,195,52
1797.jpeg,260,194,Dent,134,33,212,104
1783.jpeg,259,194,Dent,98,75,207,119
1032.jpeg,267,189,Broken-glass,117,64,267,187
1754.jpeg,357,141,Scratch,167,52,244,68
1740.jpeg,269,187,Smashed,112,42,201,128
1026.jpeg,299,168,Broken-glass,134,89,162,109
1026.jpeg,299,168,Dent,120,91,134,123
1026.jpeg,299,168,Broken-glass,64,57,78,67
1026.jpeg,299,168,Dent,125,76,144,89
1768.jpeg,260,194,Dent,87,58,174,110
1595.jpeg,259,194,Dent,8,79,217,194
1581.jpeg,180,281,Smashed,58,67,169,185
1581.jpeg,180,281,Dent,2,213,50,245
997.jpeg,300,168,Broken-glass,100,41,201,94
1556.jpeg,269,188,Broken-glass,87,29,157,63
1556.jpeg,269,188,Dent,93,94,147,156
1556.jpeg,269,188,Dent,208,27,266,111
1230.jpeg,259,194,Broken-glass,114,91,142,119
1230.jpeg,259,194,Smashed,51,100,138,155
1224.jpeg,259,194,Dent,129,133,226,191
1224.jpeg,259,194,Dent,145,63,173,139
1224.jpeg,259,194,Scratch,107,113,123,145
1224.jpeg,259,194,Scratch,122,84,146,103
1542.jpeg,259,194,Scratch,109,76,134,109
1542.jpeg,259,194,Scratch,73,29,141,48
1218.jpeg,225,225,Dent,147,48,199,121
1219.jpeg,300,168,Dent,128,56,216,141
1225.jpeg,259,194,Dent,90,55,176,138
1225.jpeg,259,194,Scratch,126,78,162,95
1225.jpeg,259,194,Dent,141,35,182,82
1543.jpeg,259,194,Dent,95,81,219,181
1557.jpeg,259,194,Dent,221,84,255,129
1231.jpeg,259,194,Scratch,91,89,234,146
1231.jpeg,259,194,Scratch,55,41,78,71
996.jpeg,259,194,Broken-glass,152,74,257,139
996.jpeg,259,194,Dent,105,3,259,79
996.jpeg,259,194,Dent,121,138,234,188
996.jpeg,259,194,Dent,60,44,118,74
996.jpeg,259,194,Dent,8,33,35,65
996.jpeg,259,194,Smashed,18,68,154,154
1580.jpeg,299,168,Scratch,189,66,266,87
1580.jpeg,299,168,Dent,16,1,149,61
1580.jpeg,299,168,Broken-glass,25,46,128,104
1594.jpeg,1024,1024,Dent,72,624,476,907
1594.jpeg,1024,1024,Scratch,319,727,424,798
1594.jpeg,1024,1024,Scratch,594,575,676,629
1769.jpeg,275,183,Dent,131,80,185,138
1769.jpeg,275,183,Scratch,17,87,49,125
1741.jpeg,259,194,Dent,44,147,99,182
1741.jpeg,259,194,Scratch,11,103,35,133
1027.jpeg,261,193,Smashed,23,16,261,189
1033.jpeg,265,190,Smashed,66,44,205,146
1033.jpeg,265,190,Broken-glass,60,77,107,98
1755.jpeg,259,194,Broken-glass,69,81,105,100
1755.jpeg,259,194,Smashed,13,67,149,139
1782.jpeg,298,169,Dent,58,97,140,130
1796.jpeg,299,168,Dent,179,36,233,65
1796.jpeg,299,168,Dent,28,56,118,113
1609.jpeg,280,180,Dent,124,43,210,76
1609.jpeg,280,180,Broken-glass,215,58,265,90
1609.jpeg,280,180,Broken-glass,12,58,46,87
1609.jpeg,280,180,Dent,224,87,266,149
1635.jpeg,269,188,Smashed,71,111,117,149
1153.jpeg,194,259,Smashed,113,117,193,241
1153.jpeg,194,259,Dent,75,115,126,125
1153.jpeg,194,259,Broken-glass,145,143,177,162
1147.jpeg,275,183,Scratch,134,64,170,102
1147.jpeg,275,183,Scratch,1,62,35,88
1147.jpeg,275,183,Dent,56,76,125,97
1147.jpeg,275,183,Scratch,170,124,186,135
1621.jpeg,259,194,Smashed,49,72,183,159
1812.jpeg,1024,1024,Smashed,417,275,850,721
1806.jpeg,1024,1024,Smashed,499,448,652,642
1806.jpeg,1024,1024,Broken-glass,50,530,303,635
1190.jpeg,259,194,Dent,198,61,220,95
1190.jpeg,259,194,Dent,55,143,64,150
1184.jpeg,275,183,Dent,207,1,271,137
1184.jpeg,275,183,Dent,1,11,147,132
1184.jpeg,275,183,Scratch,68,130,111,148
1379.jpeg,308,164,Broken-glass,148,50,302,154
1351.jpeg,284,177,Dent,62,65,221,152
1437.jpeg,259,194,Dent,128,86,186,131
1423.jpeg,259,194,Dent,29,44,177,166
1423.jpeg,259,194,Scratch,71,100,148,139
1345.jpeg,220,229,Dent,102,82,147,115
1345.jpeg,220,229,Dent,5,127,114,178
1345.jpeg,220,229,Dent,133,2,196,61
1392.jpeg,259,194,Dent,60,48,201,101
1386.jpeg,266,189,Broken-glass,118,48,211,105
1386.jpeg,266,189,Dent,81,26,249,129
1382.jpeg,259,194,Scratch,46,3,194,120
1396.jpeg,267,188,Smashed,109,121,201,176
1396.jpeg,267,188,Dent,149,79,196,105
1369.jpeg,264,191,Scratch,196,51,264,143
1369.jpeg,264,191,Dent,58,1,223,70
1369.jpeg,264,191,Scratch,10,73,40,136
1341.jpeg,286,176,Scratch,71,107,141,127
1341.jpeg,286,176,Scratch,173,97,238,123
1427.jpeg,252,200,Smashed,42,52,160,159
1427.jpeg,252,200,Broken-glass,138,28,213,59
1433.jpeg,259,194,Broken-glass,35,7,242,174
1355.jpeg,259,194,Dent,153,68,239,123
1355.jpeg,259,194,Broken-glass,102,43,185,68
1802.jpeg,1024,1024,Scratch,145,201,958,852
1816.jpeg,300,168,Dent,65,40,225,87
1816.jpeg,300,168,Broken-glass,115,18,195,45
1180.jpeg,284,177,Broken-glass,89,78,143,118
1180.jpeg,284,177,Smashed,44,83,167,175
1180.jpeg,284,177,Smashed,63,35,107,66
1194.jpeg,259,194,Dent,29,29,190,157
1194.jpeg,259,194,Broken-glass,21,1,173,25
1619.jpeg,259,194,Smashed,88,38,254,172
1619.jpeg,259,194,Broken-glass,70,16,182,57
1625.jpeg,299,168,Broken-glass,99,18,155,53
1625.jpeg,299,168,Dent,31,54,66,117
1625.jpeg,299,168,Dent,77,91,102,105
1143.jpeg,259,194,Broken-glass,96,77,115,140
1143.jpeg,259,194,Smashed,78,112,157,183
1143.jpeg,259,194,Dent,7,80,67,155
1143.jpeg,259,194,Smashed,141,103,195,144
1143.jpeg,259,194,Dent,181,68,208,90
1157.jpeg,259,195,Dent,112,80,175,142
1157.jpeg,259,195,Dent,75,121,107,155
1157.jpeg,259,195,Smashed,202,86,221,122
1631.jpeg,179,281,Dent,36,151,98,212
1631.jpeg,179,281,Scratch,26,169,52,198
1792.jpeg,297,170,Broken-glass,80,64,109,82
1792.jpeg,297,170,Dent,87,55,154,108
1786.jpeg,260,194,Scratch,55,111,94,137
1779.jpeg,259,194,Dent,116,102,157,120
1779.jpeg,259,194,Scratch,69,23,171,42
1779.jpeg,259,194,Broken-glass,113,44,159,71
1751.jpeg,259,194,Dent,34,40,213,86
1751.jpeg,259,194,Dent,44,124,65,143
1037.jpeg,259,194,Dent,139,71,195,124
1037.jpeg,259,194,Smashed,52,3,215,78
1023.jpeg,299,168,Scratch,182,87,214,108
1023.jpeg,299,168,Scratch,142,61,162,125
1023.jpeg,299,168,Scratch,70,86,147,101
1745.jpeg,260,194,Broken-glass,61,65,90,120
1745.jpeg,260,194,Dent,49,110,144,168
1590.jpeg,259,194,Broken-glass,107,94,129,109
1590.jpeg,259,194,Scratch,85,131,119,144
1590.jpeg,259,194,Dent,94,108,125,141
1584.jpeg,259,194,Smashed,48,18,259,194
1209.jpeg,305,165,Broken-glass,80,99,111,112
1209.jpeg,305,165,Dent,36,61,163,142
1209.jpeg,305,165,Scratch,106,78,133,92
1209.jpeg,305,165,Scratch,140,45,180,54
1235.jpeg,1024,1024,Dent,242,139,322,212
1553.jpeg,259,194,Dent,58,72,99,121
1553.jpeg,259,194,Broken-glass,60,33,100,68
1547.jpeg,275,183,Dent,56,66,112,114
1221.jpeg,266,189,Scratch,161,106,266,176
1546.jpeg,268,188,Dent,19,75,85,126
1546.jpeg,268,188,Broken-glass,55,61,114,82
1220.jpeg,298,169,Broken-glass,129,71,193,93
1220.jpeg,298,169,Dent,80,66,204,142
1220.jpeg,298,169,Scratch,105,93,183,143
1234.jpeg,189,267,Dent,41,82,98,146
1234.jpeg,189,267,Scratch,1,151,57,213
1552.jpeg,259,194,Dent,108,76,163,118
1208.jpeg,275,183,Dent,207,52,232,94
1208.jpeg,275,183,Dent,57,25,187,69
1585.jpeg,259,194,Dent,135,61,208,82
1585.jpeg,259,194,Dent,51,69,119,105
1585.jpeg,259,194,Scratch,1,90,57,106
1585.jpeg,259,194,Scratch,1,142,26,156
1591.jpeg,275,183,Broken-glass,30,52,256,148
1022.jpeg,278,181,Smashed,4,45,185,140
1022.jpeg,278,181,Dent,178,50,218,78
1022.jpeg,278,181,Broken-glass,217,18,235,47
1744.jpeg,294,171,Dent,55,94,101,145
1750.jpeg,275,183,Broken-glass,77,86,126,114
1750.jpeg,275,183,Smashed,47,49,141,176
1036.jpeg,259,194,Smashed,112,115,237,176
1036.jpeg,259,194,Broken-glass,121,94,183,125
1036.jpeg,259,194,Dent,79,86,117,112
1778.jpeg,269,188,Dent,96,76,152,131
1778.jpeg,269,188,Broken-glass,181,37,216,68
1787.jpeg,259,194,Dent,29,80,123,144
1793.jpeg,259,194,Scratch,24,105,107,169
1793.jpeg,259,194,Scratch,67,57,171,102
1156.jpeg,259,194,Broken-glass,62,34,186,65
1630.jpeg,276,183,Dent,62,111,113,150
1624.jpeg,226,223,Dent,19,111,84,142
1624.jpeg,226,223,Dent,180,106,208,144
1142.jpeg,259,194,Smashed,124,115,207,162
1618.jpeg,299,168,Smashed,101,33,255,145
1195.jpeg,180,280,Scratch,70,167,96,182
1195.jpeg,180,280,Dent,79,126,125,164
1181.jpeg,275,183,Smashed,76,80,245,160
1817.jpeg,299,168,Broken-glass,229,61,276,110
1817.jpeg,299,168,Dent,122,61,171,118
1817.jpeg,299,168,Smashed,12,66,79,123
1803.jpeg,259,194,Broken-glass,83,77,140,102
1803.jpeg,259,194,Dent,78,67,198,185
1432.jpeg,269,188,Broken-glass,139,29,176,69
1432.jpeg,269,188,Smashed,56,57,192,145
1354.jpeg,270,187,Broken-glass,82,57,176,92
1354.jpeg,270,187,Smashed,1,8,226,148
1340.jpeg,266,189,Dent,18,87,199,148
1340.jpeg,266,189,Broken-glass,138,43,204,92
1426.jpeg,275,183,Scratch,94,48,275,106
1426.jpeg,275,183,Scratch,21,55,200,166
1368.jpeg,236,214,Dent,24,94,216,163
1368.jpeg,236,214,Scratch,83,132,200,149
1368.jpeg,236,214,Broken-glass,67,43,164,86
1397.jpeg,290,174,Broken-glass,110,55,186,104
1383.jpeg,414,122,Smashed,41,14,305,122
1395.jpeg,259,194,Broken-glass,81,87,142,127
1395.jpeg,259,194,Smashed,21,90,179,164
1381.jpeg,270,187,Dent,22,27,156,125
1418.jpeg,300,168,Dent,89,36,186,70
1356.jpeg,300,168,Scratch,123,52,148,91
1356.jpeg,300,168,Scratch,162,116,233,143
1430.jpeg,259,194,Dent,62,40,108,92
1424.jpeg,259,194,Dent,108,45,179,131
1342.jpeg,259,194,Dent,36,41,182,143
1815.jpeg,254,198,Broken-glass,118,28,229,125
1801.jpeg,259,194,Smashed,73,58,197,186
1801.jpeg,259,194,Broken-glass,77,109,139,142
1829.jpeg,259,194,Dent,152,82,213,96
1197.jpeg,267,189,Broken-glass,74,65,105,106
1197.jpeg,267,189,Smashed,10,62,138,166
1183.jpeg,309,163,Smashed,114,38,228,127
1183.jpeg,309,163,Scratch,175,93,221,114
1168.jpeg,260,194,Dent,93,104,107,114
1168.jpeg,260,194,Dent,52,129,200,158
1632.jpeg,183,275,Broken-glass,64,50,139,170
1154.jpeg,225,225,Dent,84,125,169,162
1154.jpeg,225,225,Scratch,89,132,137,157
1140.jpeg,269,188,Smashed,38,22,213,134
1140.jpeg,269,188,Scratch,85,68,149,109
1626.jpeg,273,184,Dent,153,107,237,154
1626.jpeg,273,184,Broken-glass,81,19,183,59
1785.jpeg,275,183,Broken-glass,125,81,177,108
1785.jpeg,275,183,Dent,1,54,178,129
1791.jpeg,269,188,Scratch,150,25,204,131
1008.jpeg,275,183,Dent,111,106,213,153
1746.jpeg,259,194,Broken-glass,123,95,176,121
1746.jpeg,259,194,Dent,122,83,199,132
1746.jpeg,259,194,Scratch,165,138,178,153
1020.jpeg,259,194,Smashed,35,89,130,155
1020.jpeg,259,194,Broken-glass,98,105,123,123
1020.jpeg,259,194,Broken-glass,41,103,64,118
1020.jpeg,259,194,Dent,153,101,184,115
1034.jpeg,275,183,Smashed,85,103,164,140
1752.jpeg,194,259,Dent,84,133,112,185
1752.jpeg,194,259,Scratch,53,75,107,97
1587.jpeg,259,194,Smashed,140,122,228,165
1593.jpeg,260,194,Broken-glass,43,106,76,136
1593.jpeg,260,194,Smashed,130,56,212,141
1593.jpeg,260,194,Smashed,14,82,54,122
1578.jpeg,269,187,Broken-glass,167,79,206,102
1578.jpeg,269,187,Dent,134,70,249,167
1222.jpeg,259,194,Smashed,103,59,242,154
1222.jpeg,259,194,Broken-glass,75,45,108,69
1544.jpeg,259,194,Dent,60,107,253,187
1544.jpeg,259,194,Dent,80,47,115,67
1544.jpeg,259,194,Dent,41,43,67,67
1550.jpeg,165,306,Broken-glass,1,34,147,140
1550.jpeg,165,306,Dent,43,164,165,283
1236.jpeg,275,183,Smashed,1,48,173,175
1236.jpeg,275,183,Broken-glass,22,63,78,93
1551.jpeg,260,194,Dent,217,78,244,112
1237.jpeg,268,188,Dent,96,82,134,158
1223.jpeg,259,194,Smashed,146,70,252,140
1223.jpeg,259,194,Broken-glass,222,81,247,100
1223.jpeg,259,194,Smashed,96,82,156,107
1545.jpeg,259,194,Smashed,143,26,233,126
1545.jpeg,259,194,Broken-glass,105,14,163,61
1579.jpeg,300,168,Broken-glass,115,1,300,111
1592.jpeg,1024,1024,Dent,331,304,629,763
1592.jpeg,1024,1024,Scratch,545,709,635,866
1586.jpeg,300,168,Smashed,84,14,254,137
1586.jpeg,300,168,Dent,59,66,93,94
1586.jpeg,300,168,Broken-glass,59,8,128,46
1035.jpeg,1024,1024,Dent,300,491,534,695
1753.jpeg,259,194,Dent,69,87,146,120
1747.jpeg,259,194,Broken-glass,94,87,146,123
1747.jpeg,259,194,Smashed,70,67,160,152
1021.jpeg,259,194,Dent,37,29,92,76
1021.jpeg,259,194,Smashed,57,29,254,78
1021.jpeg,259,194,Dent,66,131,149,177
1009.jpeg,275,183,Smashed,88,60,234,145
1009.jpeg,275,183,Broken-glass,117,7,231,62
1009.jpeg,275,183,Dent,32,71,94,108
1790.jpeg,260,194,Broken-glass,189,64,208,90
1790.jpeg,260,194,Dent,102,34,196,108
1784.jpeg,255,198,Smashed,89,76,223,137
1784.jpeg,255,198,Broken-glass,102,85,137,110
1784.jpeg,255,198,Dent,147,114,206,140
1141.jpeg,183,275,Dent,30,121,136,207
1627.jpeg,259,194,Broken-glass,146,88,185,115
1627.jpeg,259,194,Broken-glass,28,64,187,155
1633.jpeg,244,206,Smashed,63,88,212,153
1155.jpeg,279,181,Scratch,162,74,237,156
1155.jpeg,279,181,Scratch,63,46,108,119
1155.jpeg,279,181,Scratch,241,83,276,150
1169.jpeg,259,194,Broken-glass,80,115,118,139
1169.jpeg,259,194,Dent,28,100,87,124
1169.jpeg,259,194,Smashed,11,90,143,157
1169.jpeg,259,194,Broken-glass,65,56,121,90
1182.jpeg,266,189,Dent,70,52,227,97
1828.jpeg,266,189,Smashed,60,8,247,154
1196.jpeg,275,183,Smashed,89,21,211,145
1196.jpeg,275,183,Dent,133,49,184,73
1800.jpeg,336,150,Dent,117,62,249,106
1814.jpeg,1024,1024,Dent,606,421,711,668
1814.jpeg,1024,1024,Broken-glass,580,261,721,421
1814.jpeg,1024,1024,Scratch,532,663,647,783
1425.jpeg,300,168,Smashed,54,63,88,96
1343.jpeg,290,174,Scratch,157,72,177,108
1343.jpeg,290,174,Scratch,105,95,129,113
1357.jpeg,220,229,Scratch,116,59,220,220
1357.jpeg,220,229,Dent,64,16,126,69
1431.jpeg,259,194,Broken-glass,53,26,223,126
1419.jpeg,300,168,Smashed,191,53,262,127
1380.jpeg,272,185,Dent,181,70,207,142
1394.jpeg,259,194,Broken-glass,92,93,116,115
1394.jpeg,259,194,Smashed,45,80,155,167
1394.jpeg,259,194,Broken-glass,113,48,157,80
1495.jpeg,264,191,Dent,80,51,229,88
1495.jpeg,264,191,Scratch,53,116,128,164
1481.jpeg,1024,1024,Dent,452,306,816,621
1330.jpeg,259,194,Dent,142,111,212,158
1330.jpeg,259,194,Broken-glass,141,68,192,91
1330.jpeg,259,194,Scratch,168,159,194,167
1456.jpeg,259,194,Dent,43,74,105,131
1442.jpeg,275,183,Dent,42,66,153,148
1324.jpeg,275,183,Smashed,84,37,249,152
1318.jpeg,275,183,Smashed,116,64,179,125
1697.jpeg,225,225,Dent,113,113,203,193
1697.jpeg,225,225,Scratch,143,162,180,186
1683.jpeg,194,260,Dent,62,68,142,150
1873.jpeg,259,194,Scratch,117,65,181,84
1867.jpeg,275,183,Smashed,39,89,144,144
1654.jpeg,278,182,Broken-glass,57,70,102,114
1654.jpeg,278,182,Dent,51,109,120,133
1132.jpeg,294,171,Broken-glass,56,67,92,92
1132.jpeg,294,171,Dent,39,36,72,129
1132.jpeg,294,171,Scratch,46,118,93,139
1132.jpeg,294,171,Dent,196,83,269,109
1126.jpeg,259,194,Broken-glass,36,43,259,115
1126.jpeg,259,194,Dent,100,113,157,134
1640.jpeg,277,182,Broken-glass,6,42,175,163
1898.jpeg,259,194,Smashed,192,27,242,97
1668.jpeg,275,183,Dent,6,10,150,172
1085.jpeg,259,194,Smashed,155,13,241,112
1085.jpeg,259,194,Scratch,108,80,145,108
1085.jpeg,259,194,Broken-glass,59,100,110,131
1091.jpeg,274,184,Smashed,68,59,195,142
1907.jpeg,259,194,Smashed,67,89,177,177
1913.jpeg,251,201,Dent,123,136,212,190
1913.jpeg,251,201,Dent,101,41,134,100
1720.jpeg,259,194,Broken-glass,111,86,218,138
1046.jpeg,1024,1024,Dent,642,360,1000,741
1046.jpeg,1024,1024,Scratch,152,347,561,991
1046.jpeg,1024,1024,Dent,69,137,279,399
1046.jpeg,1024,1024,Scratch,7,195,161,354
1052.jpeg,275,183,Dent,163,61,215,101
1052.jpeg,275,183,Smashed,109,87,213,179
1052.jpeg,275,183,Scratch,194,111,252,140
1734.jpeg,1024,1024,Broken-glass,193,483,463,691
1734.jpeg,1024,1024,Broken-glass,24,396,460,957
1708.jpeg,259,194,Smashed,24,2,203,185
1287.jpeg,259,194,Dent,42,77,81,111
1287.jpeg,259,194,Dent,175,79,210,116
1293.jpeg,299,168,Dent,155,56,185,84
1244.jpeg,259,194,Dent,55,22,160,69
1244.jpeg,259,194,Dent,150,62,259,112
1522.jpeg,259,194,Broken-glass,54,42,145,100
1522.jpeg,259,194,Dent,92,100,111,156
1536.jpeg,1024,1024,Dent,517,525,921,1024
1536.jpeg,1024,1024,Broken-glass,286,686,611,914
1536.jpeg,1024,1024,Scratch,293,939,542,1024
1250.jpeg,259,194,Scratch,99,115,149,134
1250.jpeg,259,194,Scratch,78,56,125,71
1278.jpeg,300,168,Smashed,78,73,173,124
1279.jpeg,260,194,Dent,107,77,208,144
1537.jpeg,1024,1024,Dent,355,263,519,458
1251.jpeg,300,168,Dent,20,19,166,133
1245.jpeg,251,201,Broken-glass,75,89,103,162
1245.jpeg,251,201,Smashed,75,13,242,179
1523.jpeg,259,194,Smashed,111,62,167,128
1292.jpeg,269,188,Dent,154,48,182,80
1286.jpeg,1024,1024,Dent,442,327,594,571
1286.jpeg,1024,1024,Scratch,504,398,660,532
1709.jpeg,269,188,Dent,62,45,170,102
1053.jpeg,282,179,Smashed,26,61,231,158
1735.jpeg,259,194,Broken-glass,153,114,193,129
1735.jpeg,259,194,Dent,96,88,178,170
1721.jpeg,275,183,Scratch,198,67,273,84
1047.jpeg,299,168,Broken-glass,218,86,298,120
1047.jpeg,299,168,Dent,166,74,218,118
1047.jpeg,299,168,Smashed,158,52,299,168
1912.jpeg,204,247,Dent,97,156,134,195
1912.jpeg,204,247,Dent,41,72,95,154
1912.jpeg,204,247,Dent,147,154,167,168
1906.jpeg,269,187,Dent,131,78,151,102
1090.jpeg,259,194,Dent,83,93,134,134
1090.jpeg,259,194,Dent,102,43,172,102
1084.jpeg,269,188,Scratch,58,114,119,139
1084.jpeg,269,188,Broken-glass,65,81,93,103
1084.jpeg,269,188,Smashed,53,13,178,156
1669.jpeg,1024,1024,Dent,294,429,627,656
1669.jpeg,1024,1024,Scratch,188,843,296,868
1127.jpeg,258,195,Dent,104,70,154,100
1127.jpeg,258,195,Dent,21,44,40,62
1899.jpeg,275,183,Broken-glass,1,12,214,182
1641.jpeg,300,168,Dent,114,68,196,111
